iter	Passed	Remaining
280	6560	16786
281	6580	16754
282	6602	16726
283	6623	16698
284	6645	16672
285	6667	16644
286	6688	16616
287	6710	16588
288	6732	16562
289	6756	16540
290	6781	16522
291	6803	16495
292	6823	16465
293	6845	16439
294	6869	16417
295	6891	16390
296	6910	16357
297	6932	16329
298	6954	16305
299	6981	16289
300	7001	16260
301	7022	16230
302	7042	16200
303	7064	16172
304	7085	16146
305	7107	16118
306	7129	16093
307	7152	16069
308	7175	16045
309	7196	16017
310	7217	15989
311	7239	15963
312	7259	15934
313	7282	15909
314	7303	15882
315	7324	15853
316	7345	15825
317	7367	15800
318	7391	15778
319	7411	15749
320	7431	15720
321	7452	15692
322	7475	15669
323	7496	15641
324	7516	15610
325	7537	15584
326	7559	15557
327	7581	15533
328	7603	15508
329	7625	15481
330	7647	15455
331	7668	15429
332	7691	15406
333	7715	15384
334	7737	15360
335	7760	15335
336	7781	15309
337	7805	15288
338	7827	15262
339	7848	15234
340	7869	15207
341	7893	15187
342	7914	15159
343	7936	15135
344	7957	15107
345	7978	15080
346	8002	15058
347	8023	15032
348	8045	15007
349	8070	14987
350	8094	14967
351	8122	14952
352	8145	14928
353	8170	14909
354	8192	14885
355	8217	14865
356	8241	14843
357	8264	14820
358	8289	14800
359	8315	14782
360	8341	14764
361	8362	14737
362	8386	14716
363	8408	14691
364	8432	14671
365	8453	14643
366	8474	14615
367	8495	14589
368	8516	14563
369	8539	14540
370	8560	14513
371	8583	14490
372	8603	14462
373	8624	14436
374	8646	14411
375	8668	14386
376	8688	14357
377	8708	14330
378	8730	14304
379	8755	14284
380	8777	14260
381	8798	14234
382	8820	14209
383	8842	14185
384	8863	14158
385	8887	14137
386	8909	14112
387	8932	14089
388	8955	14066
389	8976	14039
390	8997	14014
391	9019	13989
392	9043	13967
393	9065	13944
394	9085	13916
395	9105	13888
396	9127	13863
397	9149	13838
398	9170	13813
399	9193	13789
400	9215	13765
401	9236	13740
402	9258	13714
403	9278	13688
404	9301	13664
405	9323	13640
406	9345	13616
407	9368	13592
408	9389	13568
409	9412	13544
410	9434	13520
411	9456	13496
412	9477	13470
413	9498	13444
414	9520	13420
415	9540	13394
416	9562	13369
417	9584	13344
418	9606	13320
419	9626	13294
420	9647	13268
421	9671	13246
422	9692	13221
423	9714	13196
424	9739	13176
425	9760	13151
426	9783	13128
427	9804	13103
428	9822	13073
429	9843	13048
430	9864	13022
431	9887	13000
432	9909	12975
433	9930	12951
434	9952	12927
435	9974	12903
436	9996	12878
437	10016	12852
438	10038	12828
439	10058	12801
440	10079	12776
441	10102	12753
442	10123	12728
443	10144	12703
444	10165	12678
445	10188	12655
446	10209	12630
447	10233	12608
448	10254	12583
449	10275	12559
450	10298	12536
451	10320	12512
452	10341	12487
453	10364	12464
454	10386	12441
455	10413	12422
456	10436	12400
457	10461	12380
458	10484	12358
459	10509	12337
460	10532	12314
461	10556	12292
462	10585	12276
463	10610	12257
464	10635	12235
465	10659	12215
466	10681	12191
467	10706	12170
468	10729	12148
469	10750	12123
470	10771	12098
471	10792	12072
472	10815	12050
473	10834	12023
474	10857	12000
475	10879	11976
476	10900	11951
477	10923	11929
478	10945	11905
479	10968	11883
480	10991	11859
481	11012	11835
482	11034	11811
483	11058	11790
484	11079	11765
485	11100	11739
486	11123	11717
487	11146	11694
488	11166	11669
489	11189	11646
490	11210	11621
491	11232	11597
492	11256	11576
493	11277	11551
494	11299	11527
495	11319	11502
496	11343	11480
497	11362	11453
498	11383	11429
499	11403	11403
500	11424	11378
501	11447	11356
502	11468	11331
503	11490	11307
504	11511	11283
505	11532	11258
506	11556	11237
507	11578	11214
508	11599	11188
509	11619	11163
510	11639	11138
511	11662	11115
512	11683	11091
513	11704	11067
514	11726	11043
515	11749	11020
516	11771	10997
517	11793	10973
518	11814	10949
519	11837	10927
520	11859	10903
521	11882	10880
522	11903	10856
523	11924	10832
524	11943	10806
525	11964	10781
526	11987	10759
527	12009	10735
528	12031	10712
529	12053	10689
530	12077	10667
531	12099	10643
532	12121	10620
533	12143	10597
534	12163	10572
535	12183	10547
536	12206	10524
537	12227	10500
538	12245	10473
539	12269	10451
540	12291	10428
541	12313	10405
542	12334	10380
543	12354	10355
544	12377	10333
545	12402	10312
546	12423	10288
547	12443	10263
548	12463	10238
549	12486	10215
550	12507	10192
551	12528	10168
552	12548	10143
553	12570	10119
554	12593	10097
555	12615	10073
556	12636	10049
557	12657	10026
558	12678	10002
559	12707	9984
560	12733	9964
561	12757	9942
562	12780	9920
563	12805	9898
564	12829	9877
565	12851	9854
566	12876	9833
567	12901	9812
568	12925	9790
569	12948	9768
570	12971	9745
571	12995	9723
572	13018	9701
573	13043	9680
574	13063	9655
575	13085	9632
576	13106	9608
577	13129	9586
578	13150	9562
579	13172	9538
580	13194	9515
581	13214	9491
582	13236	9467
583	13257	9443
584	13280	9420
585	13305	9400
586	13329	9378
587	13351	9354
588	13371	9330
589	13392	9306
590	13412	9281
591	13434	9259
592	13454	9234
593	13475	9210
594	13496	9186
595	13517	9163
596	13540	9140
597	13561	9116
598	13583	9093
599	13606	9070
600	13625	9046
601	13649	9024
602	13672	9001
603	13695	8978
604	13717	8956
605	13740	8933
606	13763	8911
607	13785	8888
608	13805	8863
609	13826	8840
610	13851	8818
611	13871	8794
612	13894	8771
613	13918	8750
614	13942	8728
615	13966	8706
616	13988	8683
617	14008	8659
618	14030	8635
619	14051	8611
620	14072	8588
621	14095	8565
622	14114	8541
623	14137	8518
624	14161	8497
625	14183	8473
626	14202	8449
627	14225	8426
628	14246	8402
629	14268	8379
630	14290	8356
631	14313	8334
632	14334	8310
633	14355	8287
634	14377	8264
635	14399	8240
636	14420	8217
637	14442	8194
638	14462	8170
639	14485	8148
640	14507	8125
641	14528	8101
642	14548	8077
643	14570	8054
644	14592	8031
645	14613	8007
646	14633	7984
647	14655	7961
648	14679	7939
649	14703	7917
650	14725	7894
651	14746	7870
652	14767	7847
653	14788	7823
654	14810	7801
655	14831	7777
656	14854	7755
657	14876	7732
658	14898	7709
659	14921	7686
660	14942	7663
661	14964	7640
662	14986	7617
663	15009	7594
664	15029	7571
665	15052	7548
666	15077	7527
667	15103	7506
668	15128	7485
669	15153	7463
670	15177	7441
671	15201	7419
672	15225	7397
673	15249	7375
674	15274	7354
675	15297	7332
676	15324	7311
677	15346	7288
678	15369	7265
679	15392	7243
680	15417	7222
681	15442	7200
682	15466	7178
683	15487	7154
684	15508	7131
685	15532	7109
686	15554	7086
687	15575	7063
688	15597	7040
689	15619	7017
690	15643	6995
691	15667	6973
692	15691	6951
693	15715	6929
694	15744	6909
695	15770	6888
696	15792	6865
697	15816	6843
698	15838	6820
699	15860	6797
700	15881	6773
701	15901	6750
702	15922	6727
703	15947	6705
704	15968	6681
705	15989	6658
706	16010	6635
707	16033	6612
708	16055	6589
709	16077	6566
710	16099	6543
711	16119	6520
712	16141	6497
713	16163	6474
714	16185	6451
715	16207	6428
716	16228	6405
717	16251	6383
718	16273	6360
719	16294	6336
720	16315	6313
721	16337	6290
722	16361	6268
723	16383	6245
724	16404	6222
725	16426	6199
726	16447	6176
727	16470	6153
728	16492	6130
729	16513	6107
730	16535	6084
731	16556	6061
732	16577	6038
733	16599	6015
734	16619	5992
735	16641	5969
736	16664	5946
737	16689	5925
738	16711	5902
739	16733	5879
740	16756	5856
741	16777	5833
742	16800	5811
743	16821	5787
744	16841	5764
745	16863	5741
746	16886	5719
747	16908	5696
748	16929	5673
749	16950	5650
750	16972	5627
751	16995	5604
752	17016	5581
753	17038	5558
754	17058	5535
755	17080	5512
756	17102	5490
757	17123	5466
758	17146	5444
759	17166	5421
760	17189	5398
761	17211	5375
762	17232	5352
763	17252	5329
764	17272	5305
765	17292	5282
766	17315	5260
767	17337	5237
768	17361	5215
769	17385	5193
770	17412	5171
771	17434	5149
772	17457	5126
773	17481	5104
774	17506	5082
775	17529	5059
776	17552	5037
777	17575	5015
778	17601	4993
779	17628	4972
780	17651	4949
781	17677	4927
782	17699	4905
783	17725	4883
784	17747	4860
785	17768	4837
786	17790	4815
787	17812	4792
788	17834	4769
789	17856	4746
790	17878	4723
791	17899	4700
792	17925	4679
793	17947	4656
794	17968	4633
795	17991	4610
796	18013	4588
797	18036	4565
798	18056	4542
799	18077	4519
800	18099	4496
801	18123	4474
802	18143	4451
803	18163	4428
804	18184	4405
805	18206	4382
806	18227	4359
807	18249	4336
808	18269	4313
809	18292	4290
810	18317	4268
811	18339	4246
812	18360	4223
813	18384	4200
814	18405	4177
815	18426	4155
816	18448	4132
817	18471	4109
818	18493	4087
819	18516	4064
820	18538	4041
821	18560	4019
822	18579	3995
823	18600	3972
824	18622	3950
825	18642	3927
826	18668	3905
827	18689	3882
828	18709	3859
829	18729	3836
830	18752	3813
831	18773	3790
832	18795	3768
833	18817	3745
834	18839	3722
835	18859	3699
836	18883	3677
837	18904	3654
838	18930	3632
839	18953	3610
840	18978	3588
841	19000	3565
842	19022	3542
843	19042	3519
844	19065	3497
845	19087	3474
846	19107	3451
847	19129	3428
848	19151	3406
849	19171	3383
850	19195	3360
851	19213	3337
852	19234	3314
853	19257	3292
854	19279	3269
855	19301	3247
856	19323	3224
857	19344	3201
858	19363	3178
859	19386	3155
860	19410	3133
861	19431	3110
862	19452	3087
863	19475	3065
864	19496	3042
865	19518	3020
866	19541	2997
867	19561	2974
868	19582	2952
869	19604	2929
870	19628	2907
871	19650	2884
872	19673	2861
873	19696	2839
874	19722	2817
875	19747	2795
876	19770	2772
877	19795	2750
878	19822	2728
879	19845	2706
880	19868	2683
881	19892	2661
882	19915	2638
883	19943	2617
884	19967	2594
885	19991	2572
886	20013	2549
887	20037	2527
888	20058	2504
889	20079	2481
890	20098	2458
891	20119	2435
892	20142	2413
893	20163	2390
894	20186	2368
895	20207	2345
896	20228	2322
897	20251	2300
898	20272	2277
899	20294	2254
900	20316	2232
901	20339	2209
902	20360	2187
903	20382	2164
904	20403	2141
905	20427	2119
906	20450	2096
907	20472	2074
908	20492	2051
909	20513	2028
910	20534	2006
911	20558	1983
912	20579	1961
913	20598	1938
914	20619	1915
915	20642	1893
916	20666	1870
917	20687	1847
918	20709	1825
919	20731	1802
920	20753	1780
921	20774	1757
922	20798	1735
923	20818	1712
924	20840	1689
925	20860	1667
926	20882	1644
927	20902	1621
928	20923	1599
929	20945	1576
930	20967	1553
931	20987	1531
932	21008	1508
933	21029	1486
934	21050	1463
935	21071	1440
936	21094	1418
937	21115	1395
938	21136	1373
939	21157	1350
940	21179	1327
941	21200	1305
942	21222	1282
943	21242	1260
944	21262	1237
945	21283	1214
946	21308	1192
947	21330	1170
948	21351	1147
949	21372	1124
950	21393	1102
951	21417	1079
952	21439	1057
953	21461	1034
954	21482	1012
955	21504	989
956	21526	967
957	21547	944
958	21569	922
959	21591	899
960	21612	877
961	21635	854
962	21659	832
963	21680	809
964	21701	787
965	21725	764
966	21746	742
967	21768	719
968	21789	697
969	21811	674
970	21835	652
971	21855	629
972	21875	607
973	21896	584
974	21916	561
975	21939	539
976	21960	516
977	21980	494
978	22003	471
979	22027	449
980	22053	427
981	22077	404
982	22101	382
983	22123	359
984	22149	337
985	22172	314
986	22196	292
987	22218	269
988	22243	247
989	22269	224
990	22292	202
991	22317	179
992	22342	157
993	22362	134
994	22382	112
995	22404	89
996	22424	67
997	22448	44
998	22469	22
999	22491	0
